cas;zdroj;udalost;ucet;zarizeni;detail
2026-05-14 07:58:11;Prihlaseni;uspesne;student01;PC-UCEBNA-07;lokalni konzole
2026-05-14 08:03:42;Prihlaseni;neuspesne;student01;PC-UCEBNA-07;chybne heslo
2026-05-14 08:03:51;Prihlaseni;uspesne;student01;PC-UCEBNA-07;lokalni konzole
2026-05-14 08:17:06;Aplikace;spusteni;student01;PC-UCEBNA-07;photo-viewer.example.exe
2026-05-14 08:17:10;Ochrana;varovani;SYSTEM;PC-UCEBNA-07;neznamy vydavatel
2026-05-14 08:18:32;Sit;spojeni;student01;PC-UCEBNA-07;cil sync-album.example
2026-05-14 08:19:04;Ochrana;blokovani;SYSTEM;PC-UCEBNA-07;podezrele chovani procesu
2026-05-14 08:20:15;Sprava;izolace;technik;PC-UCEBNA-07;odpojeno od site
2026-05-14 08:23:09;Prihlaseni;uspesne;student01;PC-UCEBNA-07;odemceni lokalni konzole
2026-05-14 08:31:27;Aplikace;pad;student01;PC-UCEBNA-07;textovy editor neodpovida

